regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
;BOOM GATES & TRAFFIC ACCESS SYSTEMS;;;0;0;;auto
GA143-2;Nice Traffic Barrrier Straight Pole 4m;1593;1337.96;1831.95;1538.654;nice_barrier;auto
GA147-1;Nice Traffic Barrrier ACDC-M LH +4m Pole;18366;15426.66;21120.9;17740.659;nice_barrier;auto
GA147-2;Nice Traffic Barrrier ACDC-M RH +4m Pole;18366;15426.66;21120.9;17740.659;nice_barrier;auto
GA147-3;Nice Traffic Barrrier ACDC-L LH + Telesc;19158;16092.34;22031.7;18506.191;nice_barrier;auto
GA147-4;Nice Traffic Barrrier ACDC-L RH + Telesc;19158;16092.34;22031.7;18506.191;nice_barrier;auto
GA147-5;Nice Traffic Barrrier ACDC-L LH + Fence;23260;19537.98;26749;22468.677;nice_barrier;auto
GA147-6;Nice Traffic Barrrier ACDC-L RH + Fence;23260;19537.98;26749;22468.677;nice_barrier;auto
GA147-7;Nice Traffic Barrrier ACDC-L LH 180 JKnf;23239;19520.42;26724.85;22448.483;nice_barrier;auto
GA147-8;Nice Traffic Barrrier ACDC-L RH 180 JKnf;23239;19520.42;26724.85;22448.483;nice_barrier;auto
GA147-9;Nice Traffic Barrrier Light Red - Green;2717;2282.13;3124.55;2624.4495;nice_barrier;auto
GA146-3;Nice Manual Barrier 4m Kit;8345;7009.36;9596.75;8060.764;nice_barrier;auto
GA148;Nice Spear Module Surf Mnt 1.2m Spike;14780;12414.61;16997;14276.8015;nice_spike;auto
GA148-1;Nice Spear Module Surf Mnt Drive Uint;18653;15668.13;21450.95;18018.3495;nice_spike;auto
GA148-2;Nice Road Spear Kit Complete 1.8m;37143;26000;42714.45;29900;nice_spike;auto
GA148-3;Nice Road Spear Kit Complete 3.0m;49246;41366;56632.9;47570.9;nice_spike;auto
GA148-4;Nice Road Spear Kit Complete 4.2m;63886;53664;73468.9;61713.6;nice_spike;auto
GA148-5;Nice Road Spear Kit Complete 5.4m;78527;65962;90306.05;75856.3;nice_spike;auto
GA148-6;Nice Road Spear Kit Complete 6.6m;93167;78260;107142.05;89999;nice_spike;auto
GA148-7;Nice Road Spear Kit Complete 7.8m;115715;81000;133072.25;93150;nice_spike;auto
GA148-9;Nice Spear Module Surface Mnt End Cap;2071;1449.6;2381.65;1667.04;nice_spike;auto
LOOP DETECTORS;;;;0;0;;auto
GA31-1;Loop Detector - 11 Pin Socket;65;45;74.75;51.75;loop_detector;auto
GA31-3;Loop Detector - Single Channel 220V SS;570;399;655.5;458.85;loop_detector;auto
GA31-4;Loop Detector - Dual 12 - 24VDC SS;856;599;984.4;688.85;loop_detector;auto
GA31-5;Loop Detector - Single Channel 12V SS;570;399;655.5;458.85;loop_detector;auto
GA31-6;Loop Detector - Single Channel 12V MD201;449;377.14;516.35;433.711;loop_detector;auto
GA31-7;Loop Detector - FLUX SA 1Ch 12-24V AC-DC;705.71;494;811.5665;568.1;loop_detector;auto
GA31-8;Loop Detector - FLUX 11 Pin 1Ch 12-24V;984.29;689;1131.9335;792.35;loop_detector;auto
GA81-4;CENTINEL 3 - 4.5 - 6m Mild Steel ex Pole;7773.00;10104.9;8938.95;11620.635;cent_barrier;auto
