regalCode;description;Retail Excl VAT;Trade Excl VAT;trade;retail;subcategory;category
RGA01-2;D10 Smart 24V DC Motor excl Batteries;10842.86;7590;8728.5;12469.289;cent_kit_sl;aut
RGA01-3;D10 Smart Turbo 24VDC Motor excl Batt;11677.14;8174;9400.1;13428.711;cent_kit_sl;aut
RGA02;D20 Smart Motor 2000kg excl Batteries;11227.14;7859;9037.85;12911.211;cent_kit_sl;aut
KT012;D5 EVO 12V Gate Motor Incl 2 x 4B Tx;6270;3999;4598.85;7210.5;cent_kit_sl;aut
RGA03-2;D5 EVO 12V Gate Motor Only (500Kg);5466;3826;4399.9;6285.9;cent_kit_sl;aut
SP07-1;D5 EVO Motor Kit Complete - Steel Rack;7097.14;4468;5138.2;8161.711;cent_kit_sl;aut
SP08-1;D5 EVO Motor Kit Complete RAZ-Nylon Rack;7191.43;4554;5237.1;8270.1445;cent_kit_sl;aut
KT013;D5 Smart 24V Gate Motor Incl 2 x 4B Tx;6604.29;4223;4856.45;7594.9335;cent_kit_sl;aut
SP07-2;D5 Smart Motor Kit 2x4B Tx Rack & Batt;7662.86;4864;5593.6;8812.289;cent_kit_sl;aut
SP08-2;D5 Smart Motor Kit 2x4B Tx RAZ & Batt;7757.14;4930;5669.5;8920.711;cent_kit_sl;aut
SP10-2;D10 Smart 24V DC Motor Kit Steel Rack;12271.43;8250;9487.5;14112.1445;cent_kit_sl;aut
SP10-3;D10 Smart Turbo 24VDC Motor Kit Stl Rack;15948.57;10814;12436.1;18340.8555;cent_kit_sl;aut
;;;;0;0;cent_kit_sl;aut
SP20;D20 Smart 24V DC Motor Kit Steel Rack;12655.71;8859;10187.85;14554.0665;cent_kit_sl;aut
SP20-1;D20 Smart 24V DC Sliding Motor Part Kit;11995.71;8397;9656.55;13795.0665;cent_kit_sl;aut
SP46;D2 Turbo CENTURION Gate Motor Kit;5065.71;3399;3908.85;5825.5665;cent_kit_sl;aut
;;;;0;0;cent_kit_sl;aut
;CENTURION - SWING GATE MOTORS;;;0;0;cent_kit_sl;aut
GA74;Vantage Single 400 Operator Kit;9208.57;6446;7412.9;10589.8555;cent_kit_sw;aut
GA74-1;Vantage Double 400 Operator Kit;13770;9639;11084.85;15835.5;cent_kit_sw;aut
