regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
CABLE;;;;0;0;;
CB46;Ripcord - 0.2mm Brown - 100m;171.5;120;197.225;138;ripcord;cab
CB47;Ripcord - 0.2mm White - 100m;171.5;106;197.225;121.9;ripcord;cab
CB54;Ripcord - 0.5mm White - 100m BC;555;388;638.25;446.2;ripcord;cab
CB55-1;Ripcord - 1mm BC White - 100m;953;667;1095.95;767.05;ripcord;cab
CB20;Comms - 4 Core Brown -100m;265.8;186;305.67;213.9;comms;cab
CB22;Comms - 4 Core White -100m;265.8;186;305.67;213.9;comms;cab
CB23;Comms - 6 Core Brown -100m;377.2;264;433.78;303.6;comms;cab
CB24;Comms - 6 Core White -100m;377.2;233;433.78;267.95;comms;cab
CB25;Comms - 8 Core Brown -100m;515.8;361;593.17;415.15;comms;cab
CB26;Comms - 8 Core White -100m;515.8;319;593.17;366.85;comms;cab
CB12;Comms - 10 Core Brown -100m;638.6;447;734.39;514.05;comms;cab
CB13;Comms - 10 Core White -100m;638.6;447;734.39;514.05;comms;cab
CB14;Comms - 12 Core Brown -100m;752;526;864.8;604.9;comms;cab
CB15;Comms - 12 Core White -100m;752;526;864.8;604.9;comms;cab
CB17;Comms - 20 Core White -100m;1335;934;1535.25;1074.1;comms;cab
CB57;Stranded - 20 Core White - 100m;963;674;1107.45;775.1;stranded;cab
CB56;Stranded 12 Core BC Wht - 100m;939;657;1079.85;755.55;stranded;cab
CB58;Stranded 4 Core BC Wht - 100m;316;221;363.4;254.15;stranded;cab
CB59;Stranded 6 Core BC Wht - 100m;422;295;485.3;339.25;stranded;cab
CB60;Stranded 8 Core BC Wht - 100m;634.3;444;729.445;510.6;stranded;cab
CB01;Cabtyre - 0.5mm 3 Core Black - 100m;899;649;1033.85;746.35;cabtyre;cab
CB04;Cabtyre - 1.0mm 3 Core Black - 100m;1548;1083;1780.2;1245.45;cabtyre;cab
CB05;Cabtyre - 1.5mm 3 Core Black - 100m;2125;1487;2443.75;1710.05;cabtyre;cab
CB06;Cabtyre - 1.5mm 3 Core White - 100m;1999;1399;2298.85;1608.85;cabtyre;cab
CB07;Cabtyre - 0.5mm 3 Core White - 100m;885;619;1017.75;711.85;cabtyre;cab
CB44;Norsc - 1.5mm 2 Core + Earth - 100m;1993;1395;2291.95;1604.25;twinE;cab
CB61;Twin + Earth 1.5mm Flat - 100m;1560;1092;1794;1255.8;twinE;cab
CB61-1;Twin + Earth 2.5mm Flat - 100m;2399;1679;2758.85;1930.85;twinE;cab
;Twin + Earth also available in 25m rolls;;;0;0;;cab
CB33;Mylar - 1 Pair 0.22 - 100m;450;315;517.5;362.25;mylar;cab
CB35;Mylar - 2 Pair 0.22 - 100m;655;458;753.25;526.7;mylar;cab
CB37;Mylar - 3 Pair 0.22 - 100m;825;565;948.75;649.75;mylar;cab
CB39;Mylar - 4 Pair 0.22 - 100m;1280;896;1472;1030.4;mylar;cab
CB41;Mylar - 6 Pair 0.22 - 100m;1979;1385;2275.85;1592.75;mylar;cab
;"Mylar available in up to 12 Pair; 0.5mm & 500m rolls";;;0;0;;cab
CB63-2;Fire Cable - 1 Pair 0.8mm - 100m FR20;1039;727;1194.85;836.05;fire;cab
CB63-3;Fire Cable - 2 Pair 0.8mm - 100m FR20;1678;1174;1929.7;1350.1;fire;cab
CB63-7;Fire Cable - 1 Pair 1mm - 200m PH30;3328;2344;3827.2;2695.6;fire;cab
;FR20 Fire Cable also available in 500m rolls;;;0;0;;cab
CB65;Cable - CAT5 CCA 10Mbps - 100m;356;249;409.4;286.35;cat;cab
CB69;Cable - CAT5E UTP BC 100m;806;564;926.9;648.6;cat;cab
CB69-2;Cable - CAT5E UTP BC 500m;4296;3007;4940.4;3458.05;cat;cab
CB70;Cable - CAT6E UTP BC 100m;1042;729;1198.3;838.35;cat;cab
CB70-1;Cable - CAT6E U-UTP BC 300m Grey;3303;2312;3798.45;2658.8;cat;cab
CB70-2;Cable - CAT6E U-UTP BC 500m Grey;5506;3854;6331.9;4432.1;cat;cab
CA41;Trunking YT1 16x16mm - 2m;27;18.5;31.05;21.275;trunking;cab
CA42;Trunking YT2 16x25mm - 3m;48;33.1;55.2;38.065;trunking;cab
CA45;Trunking YT3 16x40mm - 3m;61;42.2;70.15;48.53;trunking;cab
CA44;Trunking YT4 25x40mm - 3m;71;49.3;81.65;56.695;trunking;cab
CA43;Trunking YT5 40x40mm - 3m;93.5;65.4;107.525;75.21;trunking;cab
CA40;Trunking NBT4 100x40mm - 3m;235;162;270.25;186.3;trunking;cab
;;;;0;0;;cab
Prices are subject to change without prior notice.;;;;0;0;;cab
E&OE. Valid until 31st March 2023.;Page: 69;;;0;0;;cab
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;cab
;;;;0;0;;cab
Trade Price List;;;;0;0;;cab
CABLE AND ACCESSORIES;;;;0;0;;cab
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;cab
;CONDUIT & CONDUIT ACCESSORIES;;;0;0;;cab
CA24-1;Insul Tape - 20mx18mm Nitto Bk;33.4;23.1;38.41;26.565;;cab
CA26-1;Insul Tape - 20mx18mm Nitto Wt;33.4;23.1;38.41;26.565;;cab
;"Also available Red; Green & Blue";;;0;0;;cab
CA06;Cable Tie Small 100x2.5mm Wht - 100;33.5;23.4;38.525;26.91;tie;cab
CA07;Cable Tie Small 100x2.5mm Blk - 100;32.5;22.7;37.375;26.105;tie;cab
CA04;Cable Tie Med 200x5mm Blk - 100;107.8;75.4;123.97;86.71;tie;cab
CA05;Cable Tie Med 200x5mm Wht - 100;120.9;84.6;139.035;97.29;tie;cab
CA01;Cable Tie Large 400x5mm Wht - 100;249.3;174.5;286.695;200.675;tie;cab
CA03;Cable Tie Large 400x5mm Blk - 100;223;156.1;256.45;179.515;tie;cab
CA09;Conduit PVC 20mm SABS - 4m;27;18.9;31.05;21.735;pvc;cab
CA13;Conduit PVC 20mm Coupling;1.49;1.04;1.7135;1.196;pvc;cab
CA14;Conduit PVC 20mm Lock Wing;1.5;1.1;1.725;1.265;pvc;cab
CA10;Conduit PVC 20mm 1-Way Box Lid & Screws;9.85;6.4;11.3275;7.36;pvc;cab
CA11;Conduit PVC 20mm 2-Way Box Lid & Screws;10.4;6.7;11.96;7.705;pvc;cab
CA11-2;Conduit PVC 20mm U-Type Box;15;11.3;17.25;12.995;pvc;cab
CA12;Conduit PVC 20mm 3-Way Box Lid & Screws;11;7.1;12.65;8.165;pvc;cab
CA08;Conduit PVC 20mm 90 Deg Bend;15.3;10.7;17.595;12.305;pvc;cab
CA08-1;Conduit PVC 20mm Inspection Elbow;11.9;7.7;13.685;8.855;pvc;cab
CA08-2;"Conduit PVC 20mm ""T"" Inspection Box";9.5;6.6;10.925;7.59;pvc;cab
CA09-1;Conduit PVC 20mm Flex sold - Meter 50m R;11;7.7;12.65;8.855;pvc;cab
CA16-1;Conduit PVC 25mm Flex - m Wht;13.2;9.2;15.18;10.58;pvc;cab
