regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
AUDIO INTERCOMS;;;;0;0;;
IC54-1;KOCOM - 1-1 Audio Intercom Kit 220VAC;725;507;833.75;583.05;int_kit;int
IC54-2;KOCOM - 1-2 Audio Intercom Kit 220VAC;1315;920;1512.25;1058;int_kit;int
IC54-3;KOCOM 1-1 Audio Intercom Kit 6-12V Dual;668;467;768.2;537.05;int_kit;int
IC41;COMMAX - 1-1 Audio Intercom Kit 220V;798.84;549.2;918.666;631.58;int_kit;int
IC41-1;COMMAX - 1-1 Audio Intercom Kit 12V;798.84;549.2;918.666;631.58;int_kit;int
IC42;COMMAX - 1-2 Audio Intercom Kit 220V;1342.3;922.83;1543.645;1061.2545;int_kit;int
IC44;COMMAX - 1 Button Gate station;211.75;145.58;243.5125;167.417;station;int
IC111-2;Commax 2 Button Apartment Door Station;1169.87;804.29;1345.3505;924.9335;station;int
IC111-4;Commax 4 Button Apartment Door Station;1353.91;930.81;1556.9965;1070.4315;station;int
IC111-6;Commax 6 Button Apartment Door Station;1538.87;1057.97;1769.7005;1216.6655;station;int
IC111-8;Commax 8 Button Apartment Door Station;1722.9;1184.5;1981.335;1362.175;station;int
IC43-3;Commax - Apart Phone DP-SS;308.99;212.43;355.3385;244.2945;station;int
IC43-6;Commax - 6 Call Telephone Master TP-6RC;832;582;956.8;669.3;station;int
;Add on Panels and Surface Boxes Available on Request;;;0;0;;int
IC85-17;POLO Entry Panel 12VDC;688.57;482;791.8555;554.3;station;int
IC85-18;POLO Handset 12VDC;567.14;397;652.211;456.55;handset;int
IC130-2;BPT - AGT VILLA 1-1 Kit;3130.65;2319;3600.2475;2666.85;int_kit;int
IC130-4;BPT - AGT MINI 1-4 Intercom Kit;7152.3;5298;8225.145;6092.7;int_kit;int
IC133-5;BPT - AGT A200 Handset S200;546.75;405;628.7625;465.75;handset;int
IC133-6;BPT - AGT A Handset X1;770.85;571;886.4775;656.65;handset;int
IC133-7;BPT - AGT A EVO Handset X1;951.75;705;1094.5125;810.75;handset;int
IC133-8;BPT AGT A200 K Handset S200 Door Release;768.15;569;883.3725;654.35;handset;int
IC135-6;BPT - AGT A200 EVO Handset S200 Multi;861.3;638;990.495;733.7;handset;int
IC38-3;BPT - B-RED 12-18VDC Kit Incl PSU;722.25;535;830.5875;615.25;kit;int
IC03-1;BPT - Targha 2 Entry Panel;1270.8;889.5;1461.42;1022.925;station;int
IC05-3;BPT - Targha 1 Entry Panel;1157.8;810.4;1331.47;931.96;station;int
IC06-1;BPT - Three Butt Kit YP3;146.85;108.78;168.8775;125.097;kit;int
IC09;BPT - PSU E310;2691.9;1994;3095.685;2293.1;bpt_acc;int
IC10;BPT - PSU E320;3947.4;2924;4539.51;3362.6;bpt_acc;int
IC11;BPT - PSU A200R;1485;1100;1707.75;1265;bpt_acc;int
IC32;BPT - SI200 Double Selector;2363.85;1751;2718.4275;2013.65;bpt_acc;int
