regalCode;description;trade exc;retail exc;trade;retail;subcategory;category
CP422B;Ajax Hub Plus black;4610.10;5301.62;5301.615;6096.863;ajax;intr
CP422W;Ajax Hub Plus white;4583.00;5270.45;5270.45;6061.0175;ajax;intr
CP423B;Ajax Hub 2 Plus Black 200 Devices LTE Wi;5237.70;6023.36;6023.355;6926.864;ajax;intr
CP423W;Ajax Hub 2 Plus white;4959.50;5923.65;5703.425;6812.1975;ajax;intr
CP424W;Ajax Hub 2 4G White;4608.50;5299.78;5299.775;6094.747;ajax;intr
CP450W;Ajax StarterKit Cam Plus - Hub 2p + Moti;8298.90;9543.74;9543.735;10975.301;ajax;intr
CP430W;Ajax Keypad white;1334.00;1534.10;1534.1;1764.215;ajax;intr
CP430B;Ajax Keypad black;1334.00;1534.10;1534.1;1764.215;ajax;intr
CP431B;Ajax Keypad Plus Black;1574.40;1822.75;1810.56;2096.1625;ajax;intr
CP431W;Ajax Keypad Plus White;1574.40;1822.75;1810.56;2096.1625;ajax;intr
CP440B;Ajax ReX black;1674.00;1925.10;1925.1;2213.865;ajax;intr
CP440W;Ajax ReX white;1674.90;1926.14;1926.135;2215.061;ajax;intr
CP441B;Ajax MultiTransmitter;2096.70;2411.21;2411.205;2772.8915;ajax;intr
CP442B;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;2334.00;2684.10;2684.1;3086.715;ajax;intr
CP442W;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;2334.00;2684.10;2684.1;3086.715;ajax;intr
CP443B;Ajax VHF Bridge Black;1299.00;1932.00;1493.85;2221.8;ajax;intr
CP443W;Ajax VHF Bridge White;1777.00;2043.55;2043.55;2350.0825;ajax;intr
;"REMOTE CONTROLS; RELAYS; SWITCHES AND TRANSMITTERS";;;0;0;ajax;intr
SW420B;Ajax Button black;418.00;480.70;480.7;552.805;ajax;intr
SW420W;Ajax Button white;420.00;483.00;483;555.45;ajax;intr
SW421B;Ajax Holder for Button-DoubleButton blac;77.70;89.36;89.355;102.764;ajax;intr
SW421W;Ajax holder for Button;66.00;75.90;75.9;87.285;ajax;intr
SW422B;Ajax Tag Black;78.90;91.31;90.735;105.0065;ajax;intr
SW422W;Ajax Tag White;78.90;91.31;90.735;105.0065;ajax;intr
SW424B;Ajax SpaceControl black;420.10;483.12;483.115;555.588;ajax;intr
SW424W;Ajax SpaceControl white;420.10;483.12;483.115;555.588;ajax;intr
SW425B;Ajax Card Black (10Pcs);723.90;838.35;832.485;964.1025;ajax;intr
SW426;Ajax Relay;626.50;720.48;720.475;828.552;ajax;intr
SW427;Ajax Transmitter;670.70;771.31;771.305;887.0065;ajax;intr
SW423B;Ajax WallSwitch black;550.30;637.10;632.845;732.665;ajax;intr
SW428W;Ajax Socket white;1001.00;1151.15;1151.15;1323.8225;ajax;intr
SW429B;Ajax LeaksProtect Black;629.80;729.10;724.27;838.465;ajax;intr
SW429W;Ajax LeaksProtect white;629.80;729.10;724.27;838.465;ajax;intr
SW430;Ajax ocBridge Plus;821.10;951.05;944.265;1093.7075;ajax;intr
SW431;Ajax uartBridge;426.70;494.50;490.705;568.675;ajax;intr
;;;;0;0;ajax;intr
Prices are subject to change without prior notice.;;;;0;0;ajax;intr
E&OE. Valid until 31st March 2023.;Page: 27;;;0;0;ajax;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;ajax;intr
;;;;0;0;ajax;intr
Trade Price List;;;;0;0;ajax;intr
INTRUSION;;;;0;0;ajax;intr
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;#VALUE!;#VALUE!;ajax;intr
POWER SUPPLY MODULES;;;;0;0;ajax;intr
PS420;Ajax 12V PSU for Hub-Hub Plus -Rex;335.40;385.71;385.71;443.5665;ajax;intr
PS421;Ajax 12V PSU for Hub 2;335.40;385.71;385.71;443.5665;ajax;intr
PS422;Ajax 6V PSU for Hub 2 Plus;315.50;364.55;362.825;419.2325;ajax;intr
DOOR SENSORS;;;;0;0;ajax;intr
MC420B;Ajax DoorProtect black;502.00;577.30;577.3;663.895;ajax;intr
MC420W;Ajax DoorProtect white;474.00;545.10;545.1;626.865;ajax;intr
MC420B;Ajax DoorProtect black;502.00;577.30;577.3;663.895;ajax;intr
MC422W;Ajax DoorProtect Plus white;753.10;866.07;866.065;995.9805;ajax;intr
MOTION AND VIBRATION SENSORS;;;;0;0;ajax;intr
BD420B;Ajax MotionProtect black;751.80;864.57;864.57;994.2555;ajax;intr
BD420W;Ajax MotionProtect white;751.80;864.57;864.57;994.2555;ajax;intr
BD422W;Ajax MotionProtect Plus white;1175.30;1351.60;1351.595;1554.34;ajax;intr
BD423W;Ajax CombiProtect white;1175.30;1351.60;1351.595;1554.34;ajax;intr
BD425W;Ajax MotionProtect Curtain white;1006.10;1157.02;1157.015;1330.573;ajax;intr
BD426W;Ajax DualCurtain Outdoor white;2673.80;3074.87;3074.87;3536.1005;ajax;intr
BD426-9W;Ajax SmartBracket DualCurtain Out Wht;220.80;256.45;253.92;294.9175;ajax;intr
BD427W;Ajax MotionProtect Outdoor white;2178.70;2505.51;2505.505;2881.3365;ajax;intr
BD427-1W;Ajax Hood for MotionProtect Outdoor Whit;169.20;194.58;194.58;223.767;ajax;intr
