regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
;ZKTeco BIOMETRIC T&A READERS;;;0;0;;acc
LK168-1;S922W Fingerprint KP Reader WiFi Port;19371.1;13255.96;22276.765;15244.354;zk_fp;acc
LK168-2;S922G Fingerprint KP Reader 4G Portable;21929.5;15006.75;25218.925;17257.7625;zk_fp;acc
LK168-4;ZK S922 Batt;2977;2031;3423.55;2335.65;zk_fp;acc
LK168-10;IN01A Fingerprint KP Reader + Batt;8406.3;5752.59;9667.245;6615.4785;zk_fp;acc
LK168-11;ZK IN01AW FP Keypad Reader WiFi  Batt;9137.3;6252.81;10507.895;7190.7315;zk_fp;acc
LK168-12;IN01A Fingerprint KP Reader 4G + Batt;12061.2;8253.71;13870.38;9491.7665;zk_fp;acc
LK168-13;WL30 Fingerprint KP Reader WiFi Black;3435.7;2351.06;3951.055;2703.719;zk_fp;acc
LK172-23;ZK ProCapture-X Terminal RFID;12426.7;8503.83;14290.705;9779.4045;zk_fp;acc
;ZKTeco TAKE-ON READERS;;;0;0;;acc
LK185-4;CR20E Take-on Reader EM USB;731;500.23;840.65;575.2645;zk_enrol_fp;acc
LK185-3;ZK SLK20R Enrolment FP SilkID USB;2924;2000.9;3362.6;2301.035;zk_enrol_fp;acc
LK185-5;PV10R Enrollment Palm USB;4020.4;2751.24;4623.46;3163.926;zk_enrol_fp;acc
LK185-8;ZK9500 Enrollment Fingerprint BioID USB;1462;1000.45;1681.3;1150.5175;zk_enrol_fp;acc
LK198-6;UR20RW-E Take-on Reader UHF USB;6359.6;4351.97;7313.54;5004.7655;zk_enrol_fp;acc
;ZKTeco RFID READERS;;;0;0;;acc
LK184-1;KR101E Proximity Reader EM Wiegand;365.5;250.11;420.325;287.6265;zk_prox;acc
LK184-5;KR601 Proximity Reader EM Wiegand;438.6;300.14;504.39;345.161;zk_prox;acc
LK184-6;KR602 Proximity KP Reader EM Wiegand;548.3;375.17;630.545;431.4455;zk_prox;acc
LK184-7;KR310 Proximity Reader EM & MF Wiegand;621.4;425.19;714.61;488.9685;zk_prox;acc
;ZKTeco RFID STANDARD & UHF;;;0;0;;acc
LK142;Proximity Tag Black EM;20.4;13.94;23.46;16.031;zk_tag;acc
LK142-1;Proximity Tag Blue EM;11;7.5;12.65;8.625;zk_tag;acc
LK142-3;ZK Proximity Tag Higgs4 Windscreen Tag U;17;11.63;19.55;13.3745;zk_tag;acc
LK142-4;Proximity Tag Sticker UHF;19.1;13.01;21.965;14.9615;zk_tag;acc
LK142-5;ZK Proximity Tag Lic Plate UHF 915Mhz;76.1;52.02;87.515;59.823;zk_tag;acc
LK142-6;Proximity Card EM & UHF;51.2;35.02;58.88;40.273;zk_tag;acc
LK142-7;ZK Proximity Tag Leather EM 125KHz;83.1;56.84;95.565;65.366;zk_tag;acc
LK142-9;Proximity Tag 1K S50 MF;27.8;19.01;31.97;21.8615;zk_tag;acc
LK143-3;ZK Proximity Card UHF 915Mhz;20.5;14.01;23.575;16.1115;zk_tag;acc
LK198;ZK UHF210E UHF Reader 12m Wiegand;10113;6920.43;11629.95;7958.4945;zk_uhf;acc
LK198-1;ZK UHF2-5E UHF Reader 6m Wiegand;8772;6002.7;10087.8;6903.105;zk_uhf;acc
LK198-2;ZK U2000E UHF Reader 12m Standalone;16812.6;11505.18;19334.49;13230.957;zk_uhf;acc
LK198-3;UHF Reader 6m Standalone;14619.7;10004.5;16812.655;11505.175;zk_uhf;acc
;ZKTeco ACCESS CONTROLLERS - RFID;;;0;0;;acc
LK186;ZK C3-100 Door Cont One Door RFID;2924;2000.9;3362.6;2301.035;zk_cont;acc
LK186-1;C3-200 Door Controller 2 Doors RF;4093.5;2801.26;4707.525;3221.449;zk_cont;acc
;ZKTeco ACCESS CONTROLLERS - BIOMETRIC;;;0;0;zk_cont;acc
LK187;InBio160 Door Controller 1 Door FP & RF;5263.1;3601.62;6052.565;4141.863;zk_cont;acc
LK187-1;InBio260 Door Controller 2 Doors FP & RF;8187;5602.52;9415.05;6442.898;zk_cont;acc
LK187-2;InBio460 Door Controller 4 Doors FP & RF;11111;7603.42;12777.65;8743.933;zk_cont;acc
;ZKTeco BIOMETRIC & RFID KIT;;;0;0;zk_cont;acc
SP154-1;ZKTeco Biometric & RFID Access Kit;4095;2795;4709.25;3214.25;zk_kit;acc
;"Consists of: LK169 X7 Biometric and RFID reader; LK118 maglock and LK118-1 ZL bracket;";;;0;0;;acc
;"PS49-3 Access 3A PSU; BA13-1 7Ah battery; LK14 door closer and door release button.";;;0;0;;acc
