description;name;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
EF49-1;Energizer - Wizord 4J 1Z;2824.89;1910;3248.6235;2196.5;ENG;efe
EF49-3;Energizer - Wizord 2 2 Joule;2440.35;1650;2806.4025;1897.5;ENG;efe
EF49-4;Energizer - DRUID 13 LCD - 3 Joule;2736.15;1850;3146.5725;2127.5;ENG;efe
EF49-5;Energizer - DRUID 15 LCD - 5 Joule;2987.58;2020;3435.717;2323;ENG;efe
EF49-6;Energizer - DRUID 18 LCD - 8 Joule;4215.15;2850;4847.4225;3277.5;ENG;efe
EF49-7;Energizer - DRUID 114 LCD - 14 Joule;6655.5;4500;7653.825;5175;ENG;efe
EF53-1;Energizer - DRUID 25 LCD 5 Joule 2 Zone;5102.55;3450;5867.9325;3967.5;ENG;efe
EF53-2;Energizer - DRUID 28 LCD 8 Joule 2 Zone;5176.5;3500;5952.975;4025;ENG;efe
EF53-5;DRUID - FG7 LCD Controller;9391.65;6350;10800.3975;7302.5;ENG;efe
EF53-6;DRUID - 2x 10 Relay Expansion Card;1440.72;920;1656.828;1058;ENG;efe
EF53-7;DRUID - LCD24 - RS485 Comms Card;786;550;903.9;632.5;ENG;efe
;;;;0;0;ENG;efe
EF51-2;Energizer - Merlin 4J Incl Keypad;3579.18;2420;4116.057;2783;ENG;efe
EF52-1;Energizer - Merlin Stealth M18S 8J 1Z;4259.52;2880;4898.448;3312;ENG;efe
EF52-2;Energizer - Merlin M28S 8J 2Z;4865.91;3290;5595.7965;3783.5;ENG;efe
EF53-4;Nemtek Druid 2X Synchronisation Module;1708.25;1155;1964.4875;1328.25;ENG;efe
EF53-8;Nemtek Druid 2X Nemlink Ethernet Module;1691.28;1080;1944.972;1242;ENG;efe
EF53-9;Nemtek Druid Fence Probe Software;5637.6;4050;6483.24;4657.5;ENG;efe
EF54;FG7C - NemLink Internal card + TW;1354.59;865;1557.7785;994.75;ENG;efe
EF54-1;Network Smart IO Card 8 +1 (Nemlink);2487.39;1741.17;2860.4985;2002.3455;ENG;efe
EF54-4;D20 Low Voltage Fence Monitor;3979;2690;4575.85;3093.5;ENG;efe
EF54-8;D20 Low Voltage Fence Tester;1079.67;730;1241.6205;839.5;ENG;efe
;;;;0;0;ENG;efe
EF50;Keypad - Merlin 1 Zone 1 Gate;696.87;445;801.4005;511.75;ENG;efe
EF50-1;Keypad - Merlin 1 Zone 2 Gate;720.36;460;828.414;529;ENG;efe
EF50-2;Keypad - LCD For DRUID - 1 zone;720.36;460;828.414;529;ENG;efe
EF50-3;Keypad - DRUID Keypad 2 Zone;814.32;520;936.468;598;ENG;efe
EF50-4;Keypad - 4 Zone LCD for 2 Zone DRUID;923.94;590;1062.531;678.5;ENG;efe
EF52-4;Keypad - Merlin 2 Zone 2 Gate;923.94;590;1062.531;678.5;ENG;efe
EF49-2;Wizord 4 Magnet with holder;90.83;58;104.4545;66.7;ENG;efe
;;;;0;0;ENG;efe
CA55;Enclose Steel 305x305x230mm;571.5;400;657.225;460;ENG;efe
CA55-1;Enclose Steel 450x450x225mm Grey;885.8;620;1018.67;713;ENG;efe
CA55-2;Enclose Steel Box Wizard 460x305x230mm;1190;760;1368.5;874;ENG;efe
CA55-3;Enclose Steel Box Stealth 600x460x230mm;1800;1150;2070;1322.5;ENG;efe
CA19-5;Enclose for Energizer Fibreglass RL6D-P;1025.73;655;1179.5895;753.25;ENG;efe
CA19-6;ENCLOSURE - For Energizer H305xW305xD155;508.95;325;585.2925;373.75;ENG;efe
CA19-9;ENCLOSURE - For Energizer Fibreglass AP3;1682.82;1074.6;1935.243;1235.79;ENG;efe
ENERGISERS - Agri;;;;0;0;ENG;efe
EF63-9;Agri 1J - 10km Energizer (Battery-Mains);2114.1;1350;2431.215;1552.5;ENG;efe
EF63-8;Agri 10 Solar with 10W Solar Panel;3429.54;2190;3943.971;2518.5;ENG;efe
EF63-30;Agri 3J 30km Batt -Mains (Incl Charger);3116.34;1990;3583.791;2288.5;ENG;efe
EF63-25;Agri 25 Solar with 20W Solar Panel;3993.3;2550;4592.295;2932.5;ENG;efe
EF63-28;Agri 8 Solar 10 Watt with Internal Batt;4322.16;2760;4970.484;3174;ENG;efe
EF63-50;Agri 50 Solar with 40W Solar Panel;5465.34;3490;6285.141;4013.5;ENG;efe
EF63-21;Remote - Agri Key Chain;430.65;275;495.2475;316.25;ENG;efe
EF63-26;Agri 5 Solar Energizer 10W with Battery;4165.56;2660;4790.394;3059;ENG;efe
EF63-29;Agri 2J 20km Energizer Battery -Mains;2270.7;1450;2611.305;1667.5;ENG;efe
EF63-31;Energizer Equine 2J 20km with remote;2100;1470;2415;1690.5;ENG;efe
EF63-35;Agri Energizer 5J 50Km Battery - Mains;3252.2;2276.5;3740.03;2617.975;ENG;efe
EF63-39;Agri Universal Charger Transformer;274.05;175;315.1575;201.25;ENG;efe
CA55-8;Enclose Alum Tread Plate Box 610x800x300;5308.74;3390;6105.051;3898.5;ENG;efe
CA55-9;Enclose HDG Knock Down Stand for CA55-8;1767.41;1195;2032.5215;1374.25;ENG;efe
CA55-10;ENCLOSURE Stand U-Bracket for CA55-9;63.43;42.9;72.9445;49.335;ENG;efe
;;;;0;0;;efe
Prices are subject to change without prior notice.;;;;0;0;;efe
E&OE. Valid until 31st March 2023.;Page: 41;;;0;0;;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;efe
;;;;0;0;;efe
Trade Price List;;;;0;0;;efe
ELECTRIC FENCING;;;;0;0;;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;efe
;WALLTOP FENCE POLES - POWDER COATED;;;0;0;;efe
EF09;F-Pole - 5Line Flat Bar Angle Black;49.69;35.7;57.1435;41.055;POLE;efe
EF10;F-Pole - 5Line Flat Bar Angle White;49.69;35.7;57.1435;41.055;POLE;efe
EF09-1;F-Pole - 5Line Flat Bar Black;49.69;35.7;57.1435;41.055;POLE;efe
EF11;F-Pole - 5Line Round Black;38.7;27.8;44.505;31.97;POLE;efe
EF12;F-Pole - 5Line Round White;38.7;27.8;44.505;31.97;POLE;efe
EF12-1;F-Pole - 6Line Flat Bar Flat Black;57.77;41.5;66.4355;47.725;POLE;efe
EF12-2;F-Pole - 6Line Flat Bar White;57.77;41.5;66.4355;47.725;POLE;efe
EF13;F-Pole - 6Line Flat Bar Angle Black;57.77;41.5;66.4355;47.725;POLE;efe
EF14;F-Pole - 6Line Flat Bar Angle White;57.77;41.5;66.4355;47.725;POLE;efe
EF15;F-Pole - 6Line Round Black;48.02;34.5;55.223;39.675;POLE;efe
EF16;F-Pole - 6Line Round White;48.02;34.5;55.223;39.675;POLE;efe
EF14-5;F-Pole - 6Line Straight Tube White;78.44;56.35;90.206;64.8025;POLE;efe
EF15-1;F-Pole - 6Line Straight Tube Black;78.44;56.35;90.206;64.8025;POLE;efe
EF13-1;F-Pole - 6Line Angle Tube Black;78.44;56.35;90.206;64.8025;POLE;efe
EF14-1;F-Pole - 6Line Angle Tube White;78.44;56.35;90.206;64.8025;POLE;efe
EF11-5;F-Pole - 8Line Angle Tube White;95.14;68.35;109.411;78.6025;POLE;efe
EF11-6;F-Pole - 8Line Angle Tube Black;95.14;68.35;109.411;78.6025;POLE;efe
EF12-5;F-Pole - 8Line Straight Tube White;98;68.35;112.7;78.6025;POLE;efe
EF12-6;F-Pole - 8Line Straight Tube Black;95.14;68.35;109.411;78.6025;POLE;efe
EF11-7;F-Pole -8Line Straight Tube Shield Black;110.43;74.65;126.9945;85.8475;POLE;efe
EF11-8;F-Pole - 8Line Angle Tube Shield Black;110.42;74.65;126.983;85.8475;POLE;efe
EF11-10;F-Pole - 8Line Tube Golf Black;95.14;68.35;109.411;78.6025;POLE;efe
EF11-11;F-Pole - 8Line +1 Sq Tube Straight G PPM;121.54;82.16;139.771;94.484;POLE;efe
EF11-14;F-Pole - 10Line Angle Tube Black;121.94;87.6;140.231;100.74;POLE;efe
EF11-16;F-Pole - 10Line Straight Tube Black;121.94;87.6;140.231;100.74;POLE;efe
EF11-23;F-Pole - 12Line Straight Tube Black;145.32;104.4;167.118;120.06;POLE;efe
EF11-24;F-Pole - 12Line Angle Tube Black;145.32;104.4;167.118;120.06;POLE;efe
EF11-13;F-Pole - 12Line Square Tube Golf Black;149.2;104.4;171.58;120.06;POLE;efe
EF11-40;Fence Pole 8 Line Square Tube Base SB;129.4;87.48;148.81;100.602;POLE;efe
EF46;Fence Pole - 6Line TPole White;108.27;77.8;124.5105;89.47;POLE;efe
EF46-1;Fence Pole - 6Line TPole Black;108.27;77.8;124.5105;89.47;POLE;efe
EF46-4;Fence Pole - 6Line Low Profile Black;107.04;76.9;123.096;88.435;POLE;efe
EF46-5;Fence Pole - 6Line Low Profile White;107.04;76.9;123.096;88.435;POLE;efe
EF46-8;Fence Pole - 8Line TPole Black Shield;149.21;100.88;171.5915;116.012;POLE;efe
;WALLTOP FENCE POLES - JURASSIC;;;0;0;POLE;efe
EF121-4;Square Tube Jurassic 6Line Galv WBA Slot;88;59.5;101.2;68.425;POLE;efe
EF126;Square Tube Jurassic 6 Wire Galv A BB;88;59.5;101.2;68.425;POLE;efe
EF127;Square Tube Jurassic 6 Wire Galv S BB;88;59.5;101.2;68.425;POLE;efe
EF121-3;Square Tube Jurassic 6 Wire Galv S WB;88;59.5;101.2;68.425;POLE;efe
EF124-2;Square Tube Jurassic 8Line Galv WBA Slot;107.82;72.9;123.993;83.835;POLE;efe
EF124-5;Square Tube Jurassic 8Line Galv WBS Slot;107.82;72.9;123.993;83.835;POLE;efe
EF128;Square Tube Jurassic 8 Wire Galv A BB;107.82;72.9;123.993;83.835;POLE;efe
EF129;Square Tube Jurassic 8 Wire Galv S BB;107.82;72.9;123.993;83.835;POLE;efe
EF130;Square Tube Jurassic 10 Wire Galv A BB;127.05;85.9;146.1075;98.785;POLE;efe
EF131;Square Tube Jurassic 10 Wire Galv S BB;123;85.9;141.45;98.785;POLE;efe
EF132;Square Tube Jurassic 10 Wire Galv A WB;127.05;85.9;146.1075;98.785;POLE;efe
;Galvanised & powder coated JURASSIC poles are also available;;;0;0;POLE;efe
;;;;0;0;POLE;efe
Prices are subject to change without prior notice.;;;;0;0;POLE;efe
E&OE. Valid until 31st March 2023.;Page: 42;;;0;0;POLE;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;POLE;efe
;;;;0;0;POLE;efe
Trade Price List;;;;0;0;POLE;efe
ELECTRIC FENCING;;;;0;0;POLE;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;POLE;efe
;WALLTOP FENCE POLES & STAYS - GALVANIZED;;;0;0;POLE;efe
EF09-6;F-Pole - 5Line Flat Bar Galv BB;68.64;46.4;78.936;53.36;POLE;efe
EF09-8;F-Pole - 5Line Flat Bar Galv WB;63.22;42.74;72.703;49.151;POLE;efe
EF09-2;F-Pole - 5Line Flat Bar Angle Galv BB;68.64;46.4;78.936;53.36;POLE;efe
EF09-4;F-Pole - 5Line Flat Bar Angle Galv WB;63.22;42.74;72.703;49.151;POLE;efe
EF13-5;F-Pole - 6Line Flat Bar Galv BB;76.19;51.5;87.6185;59.225;POLE;efe
EF13-9;F-Pole - 6Line Flat Bar Galv WB;76.17;51.5;87.5955;59.225;POLE;efe
EF13-3;F-Pole - 6Line Flat Bar Angle Galv BB;76.19;51.5;87.6185;59.225;POLE;efe
EF13-10;F-Pole - 6Line Flat Bar Angle Galv WB;76.17;51.5;87.5955;59.225;POLE;efe
EF15-2;F-Pole - 6Line Round Galv BB;55.34;37.4;63.641;43.01;POLE;efe
EF15-3;F-Pole - 6Line Round Galv WB;55.34;37.4;63.641;43.01;POLE;efe
EF46-6;Fence Pole - 6Line Low Profile Galv;112.75;81;129.6625;93.15;POLE;efe
