description;name;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
SLA BATTERIES;;;;0;0;;
BA02-2;SP Batt 12V 1.3Ah SLA;156;109;179.4;125.35;battt;pow
BA02-5;Stable Power Batt 12VDC 1.3Ah SLA;149;104;171.35;119.6;battt;pow
BA03-2;SP Batt 12V 12Ah SLA;573;399;658.95;458.85;battt;pow
BA04-2;SP Batt 12V 18Ah SLA;726;499;834.9;573.85;battt;pow
BA04-5;Stable Power Batt 12VDC 18Ah SLA;699;495;803.85;569.25;battt;pow
BA05-2;SP Batt 12V 2.3Ah SLA;214;147;246.1;169.05;battt;pow
BA06-2;SP Batt 12V 25Ah SLA;1429;897;1643.35;1031.55;battt;pow
BA33-2;Battery - 12V 33AH Securi-Prod SLA;1459;999;1677.85;1148.85;battt;pow
BA07-2;SP Batt 12V 40Ah SLA;2159;1498;2482.85;1722.7;battt;pow
BA09-2;SP Batt 12V 8.0Ah Gel;359;249;412.85;286.35;battt;pow
BA10-2;SP Batt 12V 100Ah Deep Cycle 328x172x220;3345;2099;3846.75;2413.85;battt;pow
BA10-5;Stable Power Batt 12VDC 100Ah Deep Cycle;2922;2045;3360.3;2351.75;battt;pow
BA11-2;SP Batt 12V 3.0Ah SLA;249;174;286.35;200.1;battt;pow
BA12-2;SP Batt 12V 4.5Ah SLA;235;164;270.25;188.6;battt;pow
BA13-2;SP Batt 12V 7.2Ah SLA;246.2;172.3;283.13;198.145;battt;pow
BA13-5;Stable Power Batt 12VDC 7Ah SLA;242;169;278.3;194.35;battt;pow
BA15;Batt 6V 1.4AH SLA 97x24x51mm;99;74;113.85;85.1;battt;pow
BA18-2;SP Batt 6V 4.5Ah SLA;154;107;177.1;123.05;battt;pow
Lithium BATTERIES;;;;0;0;;pow
BA50-1;Battery Lithium 12V 7AH Securi-Prod;781;520;898.15;598;lit_batt;pow
BA50-6;Battery Lithium 12V 20AH Securi-Prod;1697;1125;1951.55;1293.75;lit_batt;pow
BA50-09;Battery Lithium 12.8V 50AH Securi-Prod;4150;3190;4772.5;3668.5;lit_batt;pow
BA50-12;Battery Lithium 12.8V 100AH Securi-Prod;9143;6250;10514.45;7187.5;lit_batt;pow
