regalCode;description;Retail Excl VAT;Trade Excl VAT;trade;retail;subcategory;category
CIRCUIT BOARDS;;;;0;0;;
SW35;Relay - On-board Double Pole AC-DC;67.08;50.54;77.142;58.121;relay;swt
SW36;Relay - Mains Fail Timer;182.7;119.7;210.105;137.655;relay;swt
SW37;Relay - On-board Single Pole AC-DC;45.9;34.58;52.785;39.767;relay;swt
SW38;Relay - Stepper 12VDC - VAC;137.69;103.74;158.3435;119.301;relay;swt
SW50;Timer PCB - 3 Seconds to 3 Hours Unvsl;183.58;138.32;211.117;159.068;timer;swt
SW51-4;Timer - 7 Day LCD Multi-timer TM-612-5-2;397.17;299.25;456.7455;344.1375;timer;swt
SW52;Timer PCB - Digital 9 Program;167;116.7;192.05;134.205;timer;swt
SW53;Trigger Delay Timer Module;183.58;138.32;211.117;159.068;timer;swt
SW33;Pulse Stretcher PCB;132.39;99.75;152.2485;114.7125;timer;swt
;SWITCHES & EXIT BUTTONS;;;0;0;;swt
SW10;Cut-out Switch - White;27.2;19;31.28;21.85;pb;swt
SW02;Push Button - NO & NC;25.5;17.8;29.325;20.47;pb;swt
SW03;SP Bell Push NO & NC;29;19.6;33.35;22.54;pb;swt
SW04;Push Button - Stainless Steel Slim;457;319.69;525.55;367.6435;pb;swt
SW17;SP Gate Push Button NO & NC Decal;27;17.9;31.05;20.585;pb;swt
SW17-1;Exit Push Button  - NO & NC;36.6;24.9;42.09;28.635;pb;swt
SW12;Day - Night Switch 25AMP 220-240VAC;226.2;158.3;260.13;182.045;pb;swt
SW12-1;Day - Night Switch 12VDC;158.87;119.7;182.7005;137.655;pb;swt
SW163;SP S-less Steel IR Touchless Switch 38mm;571;399;656.65;458.85;pb;swt
SW163-1;SP S-less Steel IR Touchless Switch 22mm;515;349.3;592.25;401.695;pb;swt
SW163-2;SP Polycarbonate Fireproof IR Touchless;368;249;423.2;286.35;pb;swt
SW165;SP No Touch Exit Sensor NO & NC;289;196;332.35;225.4;pb;swt
SW165-5;SP Touch to Exit Sensor NO & NC;350;244;402.5;280.6;pb;swt
SW168;SP Slimline Push Button NO & Com;141;99.8;162.15;114.77;pb;swt
SW168-1;SP Slimline Push Button Illum NO & NC;319;215;366.85;247.25;pb;swt
SW169;SP Push Button Illum NO & NC;347;236;399.05;271.4;pb;swt
SW171;SP Recessed Door Release Button;71;47.8;81.65;54.97;pb;swt
SW171-1;SP Surface Mnt Door Release Button;76;51.8;87.4;59.57;pb;swt
SW172;SP Surface Mnt Push Button NO & Com;176;124;202.4;142.6;pb;swt
SW173;SP Surface Mnt Switch NO & NC;96;65;110.4;74.75;pb;swt
SW173-1;SP Surface Mnt Switch Cover NO & NC;208;142;239.2;163.3;pb;swt
SW174;SP Surface Slimline Touch Switch NO & NC;432;292.9;496.8;336.835;pb;swt
EMERGENCY SWITCHES;;;;0;0;;swt
ES02;Emergency Sw - Latching Panic;40;26.7;46;30.705;e_sw;swt
ES04;SP Emergency Switch NO & NC Wht;34.6;23.6;39.79;27.14;e_sw;swt
ES04-1;SP Emergency Switch NO & NC Luminous;35.6;24.9;40.94;28.635;e_sw;swt
ES05;SP Emergency Switch NO & NC Wht;40;26.7;46;30.705;e_sw;swt
ES14;Push Button - Heavy Duty R-ST-17 N-O;320;224;368;257.6;e_sw;swt
ES14-1;Push Button - Heavy Duty R-ST-15 N-C;316;221;363.4;254.15;e_sw;swt
ES15;Push Panic Single Non-Latch;255;178;293.25;204.7;e_sw;swt
;KEY BOXES & KEY SWITCHES;;;0;0;;swt
KB03;Key Box Slim DP On-Off;283;198;325.45;227.7;key_sw;swt
KB05;Key Box - Slim Spring Loaded;265;185;304.75;212.75;key_sw;swt
KB06-1;Key Box Slim On-Off Key Alike;270;189;310.5;217.35;key_sw;swt
KS24;Keyswitch - Momentary DP;185;129;212.75;148.35;key_sw;swt
KS36;Key Switch - On - Off DP;185;129;212.75;148.35;key_sw;swt
KS54;Key Switch - Mini Flat Single Pole;88;59.6;101.2;68.54;key_sw;swt
KS55;Key Switch - Mini Radial Single Pole;103;70.9;118.45;81.535;key_sw;swt
KS56;Key Switch - Std Flat Single Pole;146;99;167.9;113.85;key_sw;swt
