description;name;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
POWER TOOLS;;;;0;0;;
TL118;DeWalt Angle Grinder 115mm 730W;1421;995;1634.15;1144.25;power;tool
TL119;DeWalt Angle Grinder 230mm 2200W;3168;2217;3643.2;2549.55;power;tool
TL120;DeWalt Hammer Drill Driver Kit 18VDC XR;4695;3295;5399.25;3789.25;power;tool
TL120-1;DeWalt Hammer Drill Driver Kit;4410;3087;5071.5;3550.05;power;tool
TL121;DeWalt Rotary Combination Hammer Drill;6869;4808;7899.35;5529.2;power;tool
TL125;DeWalt Impact Drill 750W 1.5 - 13mm;1852;1296;2129.8;1490.4;power;tool
TL126;DeWalt 3 Mode Hammer Drill 710W 22mm;3455;2418;3973.25;2780.7;power;tool
;;;;0;0;;tool
ZARTEK LED TORCHES;;;;0;0;;tool
TL56-5;ZARTEK 200 Lumen LED Baton Torch;286;200;328.9;230;torch;tool
TL56-6;ZARTEK 900 Lumen LED Baton Torch USB Rec;760;532;874;611.8;torch;tool
TL56-7;ZARTEK 900 Lumen LED Tactical Flashlight;875;612;1006.25;703.8;torch;tool
TL56-8;ZARTEK 750 Lumin LED Spotlight Recharge;1180;826;1357;949.9;torch;tool
TL56-9;ZARTEK 120 Lumin LED Headlamp 3 x AAA;228;159;262.2;182.85;torch;tool
RA69-9;Zartek ZA-448 Worklight 10W - LED;765;532;879.75;611.8;torch;tool
RA69-10;ZA-438 Headlamp - LED - On-Off Sensor;434;349;499.1;401.35;torch;tool
RA69-11;ZA-437 Headlamp - LED;321;252;369.15;289.8;torch;tool
TOOLS AND TEST METERS;;;;0;0;;tool
TL20;Multimeter - MTD10 Basic;438.6;307;504.39;353.05;multi;tool
TL20-2;Multimeter - MT21 Large LCD;1195;836;1374.25;961.4;multi;tool
TL57;Multimeter - DMM UT33C Value;417;291.5;479.55;335.225;multi;tool
TL21;Multimeter - Leads MT805;230.9;161.6;265.535;185.84;multi;tool
TL23;Nut Setter - 5-16;38.4;29.5;44.16;33.925;other_tool;tool
