regalCode,description,Retail Excl VAT,Trade Excl VAT,trade,retail,subcategory,category
,CCTV KITS - HIK VISION  HD-TVI,,,,,,
SP150-5,HIK HD-TVI 4Ch Hi-Res DVR 4 Cam Base Kit,3612,2492,4153.8,2865.8,kit,suv
SP151-5,HIK HD-TVI 8Ch Hi-Res DVR 8 Cam Base Kit,6486,4475,7458.9,5146.25,kit,suv
SP152-5,HIK HD-TVI 16Ch HiResDVR 16 Cam Base Kit,11005,7593,12655.75,8731.95,kit,suv
,CCTV Kits Consist of: 4-8-16 CH DVR with HDD and 4-8-16 IR Dome or IR Bullet Cameras.,,,0,0,kit,suv
SP150-3,HIK HD-TVI 4 Channel DVR MAXI Kit,7320,5124,8418,5892.6,kit,suv
SP151-3,HIK HD-TVI 8 Ch DVR 8 Camera MAXI Kit,9695,6786,11149.25,7803.9,kit,suv
SP152-3,HIK HD-TVI 16 Ch DVR 16 Cam MAXI Kit,16492,11379,18965.8,13085.85,kit,suv
,"CCTV Kits Consist of: 4-8-16 CH DVR with HDD and 4-8-16 IR Dome or IR Bullet Cameras,",,,0,0,kit,suv
,"18.5""monitor, PSU, cable, BNC connectors, DC Leads, enclosures.",,,0,0,kit,suv
SP150,HIK HD-TVI 4 Ch Hi-Res DVR Installer Kit,10263,7081,11802.45,8143.15,kit,suv
SP151,HIK HD-TVI 8 Ch Hi-Res DVR Installer Kit,13205,9111,15185.75,10477.65,kit,suv
SP152,HIK HD-TVI 16Ch Hi-Res DVR Installer Kit,18538,12791,21318.7,14709.65,kit,suv
,,,,0,0,,suv
"CCTV Kits Consist of: 4-8-16 CH DVR with HDD and 4-8-16 IR Dome or IR Bullet Cameras,",,,,0,0,,suv
"23"" HDMI monitor, PSU, cable, BNC connectors, BNC Boots, DC Leads, enclosures,",,,,0,0,,suv
HDMI cable and warning signs.,,,,0,0,,suv
,,,,0,0,,suv
SECURI-PROD CCTV,,,,0,0,,suv
CC231,SP Cam 1080p in Smoke Detector Housing 4,795,542,914.25,623.3,cam,suv
CC136,SP Cam 1080p Mini Pinhole 4-in-1 3.7 Len,789,549,907.35,631.35,cam,suv
,"4 in 1 Range TVI, CVI, AHD and Analogue",,,0,0,,suv
,,,,0,0,,suv
