Prices are subject to change without prior notice.,,,,,,,
E&OE. Valid until 31st March 2023.,Page: 1,,,,,,
www.REGALSECURITY.co.za,05/03/2023,,,,,,
,,,,,,,
Prices are subject to change without prior notice.,,,,,,,
E&OE. Valid until 31st March 2023.,Page: 2,,,,,,
www.REGALSECURITY.co.za,05/03/2023,,,,,,
,,,,,,,
Trade Price List,,,,,,,
,,,,,,,
INDEX,,,,,,,
,,,,,,,
Category,Page,,,,,,
Surveillance and Surge Protection,4 - 19,,,,,,
,,,,,,,
HIKVISION HD-TVI,,,,,,,
HIKVISION IP,,,,,,,
,,,,,,,
HIKVISION INTERCOM,,,,,,,
HIKVISION ACCESS,,,,,,,
HIKVISION INTRUSION,,,,,,,
NETWORK SWITCHES,,,,,,,
,,,,,,,
WIRELESS NETWORK DEVICES - WISNETWORKS,,,,,,,
CCTV CONNECTIVITY AND ACCESSORIES,,,,,,,
,,,,,,,
Lightning & Surge Protection,20,,,,,,
"Gate Automation, Remotes and Receivers",21 - 26,,,,,,
"Control Panels, Beams, Detectors & Accessories",27 - 39,,,,,,
"Ancillary Security Systems, Communicators & Accessories",40,,,,,,
"Electric Fencing - Security, Agricultural and Solar",41 - 48,,,,,,
"Access Control, Locks and Accessories",49 - 61,,,,,,
Intercom Equipment,62 - 64,,,,,,
Fire Panels and Smoke Detectors,65,,,,,,
Garage Door Automation,66 - 67,,,,,,
Boom Gate Systems,68,,,,,,
Cable and Accessories,69 - 70,,,,,,
Batteries and Battery Accessories,71,,,,,,
Power Supplies and Solar Systems,72,,,,,,
"Switches, Push Buttons and PCB's",73,,,,,,
"Keyswitches, Keyboxes, Tools & Test Meters",74,,,,,,
Hardware and Adhesives,75,,,,,,
Basic Terms and Conditions of Sale,76,,,,,,
,,,,,,,
Prices are subject to change without prior notice.,,,,,,,
E&OE. Valid until 31st March 2023.,Page: 3,,,,,,
www.REGALSECURITY.co.za,05/03/2023,,,,,,
,,,,,,,
Trade Price List,,,,,,,
SURVEILLANCE,,,,,,,
,,,,,,,
SURVEILLANCE,,,,,,,
Our Code,Item Description,Retail Excl VAT,Trade Excl VAT,trade,retail,subcategory,category
,CCTV KITS - HIK VISION  HD-TVI,,,,,,
SP150-5,HIK HD-TVI 4Ch Hi-Res DVR 4 Cam Base Kit,3612.00,2492.00,4153.8,2865.8,,
SP151-5,HIK HD-TVI 8Ch Hi-Res DVR 8 Cam Base Kit,6486.00,4475.00,7458.9,5146.25,,
SP152-5,HIK HD-TVI 16Ch HiResDVR 16 Cam Base Kit,11005.00,7593.00,12655.75,8731.95,,
,CCTV Kits Consist of: 4/8/16 CH DVR with HDD and 4/8/16 IR Dome or IR Bullet Cameras.,,,0,0,,
SP150-3,HIK HD-TVI 4 Channel DVR MAXI Kit,7320.00,5124.00,8418,5892.6,,
SP151-3,HIK HD-TVI 8 Ch DVR 8 Camera MAXI Kit,9695.00,6786.00,11149.25,7803.9,,
SP152-3,HIK HD-TVI 16 Ch DVR 16 Cam MAXI Kit,16492.00,11379.00,18965.8,13085.85,,
,"CCTV Kits Consist of: 4/8/16 CH DVR with HDD and 4/8/16 IR Dome or IR Bullet Cameras,",,,0,0,,
,"18.5""monitor, PSU, cable, BNC connectors, DC Leads, enclosures.",,,0,0,,
SP150,HIK HD-TVI 4 Ch Hi-Res DVR Installer Kit,10263.00,7081.00,11802.45,8143.15,,
SP151,HIK HD-TVI 8 Ch Hi-Res DVR Installer Kit,13205.00,9111.00,15185.75,10477.65,,
SP152,HIK HD-TVI 16Ch Hi-Res DVR Installer Kit,18538.00,12791.00,21318.7,14709.65,,
,,,,0,0,,
"CCTV Kits Consist of: 4/8/16 CH DVR with HDD and 4/8/16 IR Dome or IR Bullet Cameras,",,,,0,0,,
"23"" HDMI monitor, PSU, cable, BNC connectors, BNC Boots, DC Leads, enclosures,",,,,0,0,,
HDMI cable and warning signs.,,,,0,0,,
,,,,0,0,,
SECURI-PROD CCTV,,,,0,0,,
CC231,SP Cam 1080p in Smoke Detector Housing 4,795.00,542.00,914.25,623.3,,
CC136,SP Cam 1080p Mini Pinhole 4-in-1 3.7 Len,789.00,549.00,907.35,631.35,,
,"4 in 1 Range TVI, CVI, AHD and Analogue",,,0,0,,
,,,,0,0,,
Prices are subject to change without prior notice.,,,,0,0,,
E&OE. Valid until 31st March 2023.,Page: 4,,,0,0,,
www.REGALSECURITY.co.za,05/03/2023,,,0,0,,
,,,,0,0,,
Trade Price List,,,,0,0,,
SURVEILLANCE,,,,0,0,,
Our Code,Item Description,Retail Excl VAT,Trade Excl VAT,#VALUE!,#VALUE!,,
,DVRs - HIKVISION 4 Channel HD-TVI,,,0,0,,
CD01,DVR 4-ch 1080p Lite eSSD DVR 330GB Built,2166.00,1516.00,2490.9,1743.4,,
CD07,DVR Mini 4 Ch HD-TVI/AHD/Analog 25fps 1U,1029.00,703.00,1183.35,808.45,,
CD07-1,DVR Mini 4Ch HD-TVI/AHD/Analog 25fps 1TB,2337.00,1595.00,2687.55,1834.25,,
CD21,Hik 4Ch Turbo 4.0 DVR HD-TVI 1080p,1534.00,1046.00,1764.1,1202.9,,
CD21-1,Hik 4Ch Turbo 4.0 DVR HD-TVI 1TB HDD,2753.00,1880.30,3165.95,2162.345,,
CD24,HIK 4 Ch AcuSense DVR - 2ch False Alarm,1842.00,1259.00,2118.3,1447.85,,
CD24-1,HIK 4 Channel AcuSense DVR incl 1TB HDD,2993.00,2095.00,3441.95,2409.25,,
,DVRs - HIKVISION 8 Channel HD-TVI,,,0,0,,
CD02,DVR Hik 8-ch 1080p Lite eSSD DVR,2548.00,1777.00,2930.2,2043.55,,
CD08,DVR Mini 8 Ch HD-TVI/AHD/Analog 25fps 1U,1377.00,941.00,1583.55,1082.15,,
CD08-1,DVR Mini 8Ch HD-TVI/AHD/Analog 25fps 2TB,3077.00,2100.00,3538.55,2415,,
CD19,HIK 8 Ch Turbo 3.0 DVR HD-TVI H264+ 4K,5231.00,3569.00,6015.65,4104.35,,
CD19-1,HIKVISION 8-ch 5MP AcuSense DVR 1 SATA 5,6364.00,4378.00,7318.6,5034.7,,
CD22,Hik 8Ch Turbo 4.0 DVR HD-TVI 1080p,2264.00,1547.00,2603.6,1779.05,,
CD22-1,Hik 8Ch Turbo 4.0 DVR HD-TVI 2TB HDD,3918.00,2674.00,4505.7,3075.1,,
CD25,HIK 8 Ch AcuSense DVR - 4ch False Alarm,3581.00,2447.00,4118.15,2814.05,,
CD25-1,HIK 8 Ch AcuSense DVR - incl 2TB HDD,5190.00,3542.00,5968.5,4073.3,,
,DVRs - HIKVISION 16/32 Channel HD-TVI,,,0,0,,
CD09,DVR Mini 16Ch HD-TVI/AHD/Analog 25fps 1U,2358.00,1611.00,2711.7,1852.65,,
CD09-1,DVR Mini 16Ch HD-TVI/AHD/Analog 25fps 3T,4541.00,3099.00,5222.15,3563.85,,
CD20,HIK 16-ch 5MP AcuSense DVR 2 SATA,10523.00,7191.00,12101.45,8269.65,,
CD20-1,HIK 16-ch 5MP AcuSense DVR 2 SATA,12873.00,8786.00,14803.95,10103.9,,
CD23,HIK 16Ch Turbo 4.0 DVR HD-TVI 1080p,4030.00,2754.00,4634.5,3167.1,,
CD23-1,HIK 16Ch Turbo 4.0 DVR HD-TVI 4TB HDD,6539.00,4463.00,7519.85,5132.45,,
CD26,HIK 16 Ch AcuSense DVR - 4ch False Alarm,6251.00,4271.00,7188.65,4911.65,,
CD26-1,HIK 16 Ch AcuSense DVR - incl 4TB HDD,8413.00,5768.00,9674.95,6633.2,,
CD133,HIK 32Ch DVR Tribrid HD-TVI 720p 4 SATA,17556.00,11998.00,20189.4,13797.7,,
CD133-1,HIK 32Ch DVR HD-TVI 720p 2U 4TB HDD,19475.00,13292.00,22396.25,15285.8,,
CD134,HIK 32Ch AcuSense DVR HD-TVI Tribrid 108,10087.00,6893.00,11600.05,7926.95,,
CD134-1,HIK 32 Ch AcuSense DVR incl 4TB HDD,12787.00,8727.00,14705.05,10036.05,,
,,,,0,0,,
Prices are subject to change without prior notice.,,,,0,0,,
E&OE. Valid until 31st March 2023.,Page: 5,,,0,0,,
www.REGALSECURITY.co.za,05/03/2023,,,0,0,,
,,,,0,0,,
Trade Price List,,,,0,0,,
SURVEILLANCE,,,,0,0,,
Our Code,Item Description,Retail Excl VAT,Trade Excl VAT,#VALUE!,#VALUE!,,
,HIKVISION HD-TVI BULLET CAMERAS,,,0,0,,
CC376-2,HIK HD-TVI Bullet Camera 1080p - IR 25m,584.00,399.00,671.6,458.85,,
CC376-6,HIK HD-TVI Bullet Cam 1080p IR 20M 2.8mm,326.00,195.00,374.9,224.25,,
CC376-8,HD-TVI ColorVu PIR Bullet Camera 1080p,1721.00,1174.00,1979.15,1350.1,,
CC376-9,HD-TVI ColorVu Bullet Camera 1080p - 2.8,732.00,499.00,841.8,573.85,,
CC376-10,HD-TVI ColorVu Bullet Cam 1080p - 2.8mm,856.00,585.00,984.4,672.75,,
CC376-12,HIK HD-TVI ColorVu Fixed Bullet Cam1080p,992.00,682.00,1140.8,784.3,,
CC376-13,2MP Dual Light Audio Fixed Mini Bullet,717.00,489.00,824.55,562.35,,
CC377,HIK HD-TVI Bullet 1080p EXIR IR 40M 3.6m,752.00,512.00,864.8,588.8,,
CC377-1,HIK HD-TVI Bullet 1080p EXIR 50M 2.8mm,987.00,674.00,1135.05,775.1,,
CC379,HIK Bullet Cam HD-TVI 1080p IR40m VF,1170.00,799.00,1345.5,918.85,,
