regalCode;description;Retail Excl VAT;Trade Excl VAT;trade;retail;category;
;CCTV KITS - HIK VISION  HD-TVI;;;;;;
SP150-5;HIK HD-TVI 4Ch Hi-Res DVR 4 Cam Base Kit;3612.00;2492.00;2865.8;4153.8;suv;
SP151-5;HIK HD-TVI 8Ch Hi-Res DVR 8 Cam Base Kit;6486.00;4475.00;5146.25;7458.9;suv;
SP152-5;HIK HD-TVI 16Ch HiResDVR 16 Cam Base Kit;11005.00;7593.00;8731.95;12655.75;suv;
;CCTV Kits Consist of: 4/8/16 CH DVR with HDD and 4/8/16 IR Dome or IR Bullet Cameras.;;;0;0;suv;
SP150-3;HIK HD-TVI 4 Channel DVR MAXI Kit;7320.00;5124.00;5892.6;8418;suv;
SP151-3;HIK HD-TVI 8 Ch DVR 8 Camera MAXI Kit;9695.00;6786.00;7803.9;11149.25;suv;
SP152-3;HIK HD-TVI 16 Ch DVR 16 Cam MAXI Kit;16492.00;11379.00;13085.85;18965.8;suv;
;"CCTV Kits Consist of: 4/8/16 CH DVR with HDD and 4/8/16 IR Dome or IR Bullet Cameras;";;;0;0;suv;
;"18.5""monitor; PSU; cable; BNC connectors; DC Leads; enclosures.";;;0;0;suv;
SP150;HIK HD-TVI 4 Ch Hi-Res DVR Installer Kit;10263.00;7081.00;8143.15;11802.45;suv;
SP151;HIK HD-TVI 8 Ch Hi-Res DVR Installer Kit;13205.00;9111.00;10477.65;15185.75;suv;
SP152;HIK HD-TVI 16Ch Hi-Res DVR Installer Kit;18538.00;12791.00;14709.65;21318.7;suv;
;;;;0;0;suv;
"CCTV Kits Consist of: 4/8/16 CH DVR with HDD and 4/8/16 IR Dome or IR Bullet Cameras;";;;;0;0;suv;
"23"" HDMI monitor; PSU; cable; BNC connectors; BNC Boots; DC Leads; enclosures;";;;;0;0;suv;
HDMI cable and warning signs.;;;;0;0;suv;
;;;;0;0;suv;
SECURI-PROD CCTV;;;;0;0;suv;
CC231;SP Cam 1080p in Smoke Detector Housing 4;795.00;542.00;623.3;914.25;suv;
CC136;SP Cam 1080p Mini Pinhole 4-in-1 3.7 Len;789.00;549.00;631.35;907.35;suv;
;"4 in 1 Range TVI; CVI; AHD and Analogue";;;0;0;suv;
;;;;;0;suv;
Prices are subject to change without prior notice.;;;;;0;suv;
E&OE. Valid until 31st March 2023.;Page: 4;;;;0;suv;
www.REGALSECURITY.co.za;05/03/2023;;;;0;suv;
;;;;;0;suv;
Trade Price List;;;;;0;suv;
SURVEILLANCE;;;;;0;suv;
RegalCode;Description;Retail Excl VAT;Trade Excl VAT;Trade Excl VAT;#VALUE!;suv;
;DVRs - HIKVISION 4 Channel HD-TVI;;;;0;suv;
CD01;DVR 4-ch 1080p Lite eSSD DVR 330GB Built;2166.00;1516.00;1743.4;2490.9;suv;
CD07;DVR Mini 4 Ch HD-TVI/AHD/Analog 25fps 1U;1029.00;703.00;808.45;1183.35;suv;
CD07-1;DVR Mini 4Ch HD-TVI/AHD/Analog 25fps 1TB;2337.00;1595.00;1834.25;2687.55;suv;
CD21;Hik 4Ch Turbo 4.0 DVR HD-TVI 1080p;1534.00;1046.00;1202.9;1764.1;suv;
CD21-1;Hik 4Ch Turbo 4.0 DVR HD-TVI 1TB HDD;2753.00;1880.30;2162.345;3165.95;suv;
CD24;HIK 4 Ch AcuSense DVR - 2ch False Alarm;1842.00;1259.00;1447.85;2118.3;suv;
CD24-1;HIK 4 Channel AcuSense DVR incl 1TB HDD;2993.00;2095.00;2409.25;3441.95;suv;
;DVRs - HIKVISION 8 Channel HD-TVI;;;0;0;suv;
CD02;DVR Hik 8-ch 1080p Lite eSSD DVR;2548.00;1777.00;2043.55;2930.2;suv;
CD08;DVR Mini 8 Ch HD-TVI/AHD/Analog 25fps 1U;1377.00;941.00;1082.15;1583.55;suv;
CD08-1;DVR Mini 8Ch HD-TVI/AHD/Analog 25fps 2TB;3077.00;2100.00;2415;3538.55;suv;
CD19;HIK 8 Ch Turbo 3.0 DVR HD-TVI H264+ 4K;5231.00;3569.00;4104.35;6015.65;suv;
CD19-1;HIKVISION 8-ch 5MP AcuSense DVR 1 SATA 5;6364.00;4378.00;5034.7;7318.6;suv;
CD22;Hik 8Ch Turbo 4.0 DVR HD-TVI 1080p;2264.00;1547.00;1779.05;2603.6;suv;
CD22-1;Hik 8Ch Turbo 4.0 DVR HD-TVI 2TB HDD;3918.00;2674.00;3075.1;4505.7;suv;
CD25;HIK 8 Ch AcuSense DVR - 4ch False Alarm;3581.00;2447.00;2814.05;4118.15;suv;
CD25-1;HIK 8 Ch AcuSense DVR - incl 2TB HDD;5190.00;3542.00;4073.3;5968.5;suv;
;DVRs - HIKVISION 16/32 Channel HD-TVI;;;0;0;suv;
CD09;DVR Mini 16Ch HD-TVI/AHD/Analog 25fps 1U;2358.00;1611.00;1852.65;2711.7;suv;
CD09-1;DVR Mini 16Ch HD-TVI/AHD/Analog 25fps 3T;4541.00;3099.00;3563.85;5222.15;suv;
CD20;HIK 16-ch 5MP AcuSense DVR 2 SATA;10523.00;7191.00;8269.65;12101.45;suv;
